student_major,event_type,department,organizer_type,expected_attendance,interest_match_score,skill_match_score,target_major_count,target_interest_count,success
Business,seminar,Sciences,student_affairs,273,0.89,0.48,4,5,1
Medicine,hackathon,Arts,student_affairs,246,0.82,0.22,4,5,1
Medicine,volunteer,Student Affairs,club_event,117,0.29,0.74,2,5,1
Business,volunteer,Student Affairs,club_student,195,0.61,0.62,3,5,1
Medicine,hackathon,Computer Science,club_student,69,0.12,0.23,0,1,0
Business,sports,Student Affairs,student_affairs,89,0.86,0.72,2,1,1
Computer Science,volunteer,Computer Science,dean_of_faculty,67,0.65,0.71,4,1,1
Law,career,Medicine,student_affairs,39,0.93,0.45,2,4,0
Medicine,career,Medicine,dean_of_faculty,130,0.92,0.73,2,4,1
Arts,career,Arts,dean_of_faculty,105,0.99,0.17,1,5,1
Law,workshop,Sciences,student_affairs,150,0.22,0.63,2,0,1
Business,workshop,Business,student_affairs,41,0.8,0.66,2,3,1
Education,seminar,Computer Science,student_affairs,127,0.96,0.57,4,1,1
Law,seminar,Arts,club_event,124,0.7,0.4,2,1,1
Architecture,workshop,Engineering,student_affairs,243,0.32,0.68,4,1,1
Education,hackathon,Computer Science,club_student,212,0.33,0.75,0,4,1
Education,cultural,Sciences,club_student,166,0.91,0.27,4,0,1
Business,workshop,Student Affairs,club_student,122,0.7,0.8,3,0,1
Law,seminar,Student Affairs,club_event,27,0.51,0.4,0,0,0
Medicine,seminar,Medicine,club_event,147,0.47,0.51,3,3,1
Law,seminar,Medicine,club_student,47,0.78,0.63,0,2,1
Engineering,sports,Computer Science,student_affairs,59,0.35,0.93,3,3,1
Computer Science,cultural,Business,club_event,84,0.77,0.82,4,2,1
Business,sports,Student Affairs,student_affairs,20,0.6,0.6,0,0,0
Law,seminar,Arts,club_event,191,0.29,0.92,4,1,1
Arts,sports,Business,club_student,107,0.7,0.61,0,4,1
Engineering,sports,Student Affairs,club_student,143,0.19,0.75,3,2,1
Arts,seminar,Arts,club_student,114,0.39,0.51,4,5,1
Business,volunteer,Computer Science,student_affairs,234,0.25,0.38,1,5,1
Law,sports,Computer Science,student_affairs,83,0.71,0.4,3,3,1
Medicine,cultural,Medicine,club_student,104,0.68,0.17,2,1,1
Arts,sports,Student Affairs,club_student,53,0.9,0.86,0,4,1
Arts,workshop,Medicine,student_affairs,256,0.69,0.23,3,1,1
Medicine,social,Sciences,club_student,218,0.43,0.11,1,4,1
Business,cultural,Business,club_event,89,0.76,0.54,2,0,1
Architecture,career,Engineering,student_affairs,204,0.31,0.7,4,2,1
Architecture,workshop,Engineering,student_affairs,67,0.73,0.57,2,5,1
Business,hackathon,Student Affairs,dean_of_faculty,202,0.63,0.91,0,4,1
Arts,hackathon,Arts,student_affairs,264,0.81,0.9,0,4,1
Architecture,social,Business,club_student,278,0.68,0.29,1,1,1
Engineering,career,Sciences,student_affairs,73,0.53,0.53,1,4,1
Law,workshop,Business,club_student,80,0.62,0.25,4,0,1
Business,workshop,Business,student_affairs,107,0.56,0.46,4,5,0
Medicine,seminar,Business,dean_of_faculty,256,0.88,0.25,3,4,1
Business,sports,Business,student_affairs,247,0.64,0.16,3,3,1
Computer Science,career,Medicine,dean_of_faculty,91,0.64,0.26,4,4,0
Engineering,seminar,Sciences,club_event,15,0.91,0.8,3,4,1
Computer Science,hackathon,Business,dean_of_faculty,210,0.42,0.82,4,0,1
Medicine,cultural,Computer Science,club_event,57,0.35,0.89,3,2,1
Computer Science,seminar,Medicine,club_student,207,0.69,0.72,2,3,1
Business,hackathon,Student Affairs,student_affairs,148,0.87,0.48,2,4,1
Law,career,Sciences,dean_of_faculty,106,0.43,0.6,2,2,1
Law,social,Computer Science,club_student,132,0.5,0.73,1,0,1
Law,volunteer,Computer Science,club_student,97,0.45,0.67,0,1,1
Law,seminar,Engineering,student_affairs,128,0.43,0.65,3,3,1
Medicine,workshop,Computer Science,club_event,268,0.5,0.28,4,2,1
Arts,social,Student Affairs,club_student,199,0.32,0.1,1,0,1
Law,volunteer,Student Affairs,dean_of_faculty,222,0.63,0.57,0,0,1
Education,volunteer,Computer Science,student_affairs,130,0.65,0.28,3,4,0
Business,hackathon,Medicine,club_student,52,0.55,0.41,0,4,1
Medicine,cultural,Sciences,dean_of_faculty,139,0.78,0.97,3,5,1
Computer Science,cultural,Engineering,student_affairs,49,0.44,0.81,1,5,1
Education,hackathon,Arts,club_student,149,0.32,0.18,2,0,1
Business,cultural,Arts,student_affairs,126,0.9,0.34,1,3,1
Arts,career,Computer Science,student_affairs,120,0.31,0.85,4,2,1
Engineering,seminar,Engineering,dean_of_faculty,18,0.79,0.59,0,3,1
Education,cultural,Medicine,student_affairs,266,0.26,0.79,4,2,1
Business,workshop,Medicine,dean_of_faculty,259,0.95,0.13,2,3,1
Business,cultural,Engineering,dean_of_faculty,176,0.72,0.11,1,3,1
Education,volunteer,Medicine,student_affairs,110,0.59,0.31,3,4,1
Business,cultural,Sciences,club_event,229,0.73,0.44,3,2,1
Business,career,Computer Science,club_student,153,0.82,0.6,3,1,1
Business,cultural,Computer Science,club_student,105,0.48,0.22,4,4,1
Architecture,sports,Arts,club_student,218,0.19,0.25,1,2,1
Engineering,cultural,Student Affairs,student_affairs,148,0.42,0.6,2,2,0
Engineering,volunteer,Computer Science,club_event,104,0.98,0.36,2,5,1
Architecture,seminar,Sciences,student_affairs,252,0.67,0.23,1,5,1
Education,hackathon,Student Affairs,dean_of_faculty,51,0.17,0.41,2,2,1
Medicine,hackathon,Arts,dean_of_faculty,200,0.77,0.57,3,3,1
Computer Science,social,Student Affairs,club_event,143,0.95,0.73,0,1,1
Engineering,seminar,Engineering,dean_of_faculty,42,0.12,0.46,0,0,0
Business,seminar,Student Affairs,dean_of_faculty,173,0.31,0.76,3,5,1
Business,workshop,Engineering,student_affairs,181,0.88,0.52,4,2,1
Business,social,Medicine,dean_of_faculty,237,0.57,0.68,2,2,1
Arts,seminar,Sciences,student_affairs,202,0.47,0.24,0,0,1
Business,volunteer,Arts,dean_of_faculty,19,0.72,0.54,3,2,0
Law,sports,Medicine,club_event,18,0.59,0.27,4,3,0
Business,hackathon,Computer Science,dean_of_faculty,127,0.34,0.48,1,4,1
Medicine,sports,Student Affairs,student_affairs,226,0.27,0.16,1,2,1
Architecture,cultural,Arts,dean_of_faculty,111,0.39,0.24,4,0,1
Engineering,sports,Arts,club_event,239,0.75,0.31,1,0,1
Education,hackathon,Arts,dean_of_faculty,205,0.52,0.81,2,0,1
Business,workshop,Arts,dean_of_faculty,51,0.59,0.26,2,3,1
Engineering,career,Sciences,dean_of_faculty,141,0.76,0.13,3,5,1
Arts,cultural,Sciences,student_affairs,180,0.24,0.76,4,4,1
Architecture,sports,Business,student_affairs,41,0.88,0.3,0,1,1
Education,workshop,Business,student_affairs,76,0.46,0.32,0,4,1
Architecture,social,Arts,club_student,142,0.24,0.18,4,2,1
Computer Science,workshop,Arts,club_event,69,0.21,0.31,4,5,0
Architecture,career,Engineering,dean_of_faculty,198,0.75,0.33,0,3,1
Medicine,cultural,Business,club_event,193,0.39,0.52,4,4,1
Business,cultural,Arts,student_affairs,202,0.51,0.8,4,3,1
Computer Science,volunteer,Computer Science,club_event,179,0.75,0.69,4,3,1
Architecture,social,Medicine,student_affairs,180,0.47,0.39,0,4,1
Computer Science,social,Business,club_student,118,0.2,0.27,0,4,0
Law,cultural,Medicine,student_affairs,40,0.43,0.65,0,0,1
Arts,cultural,Computer Science,club_student,254,0.82,0.15,4,5,1
Law,volunteer,Computer Science,club_student,151,0.58,0.76,2,0,1
Engineering,seminar,Student Affairs,club_event,212,0.27,0.57,1,4,1
Business,hackathon,Student Affairs,club_student,198,0.71,0.73,3,0,1
Business,hackathon,Medicine,student_affairs,95,0.58,0.64,2,2,1
Education,volunteer,Sciences,dean_of_faculty,180,0.65,0.61,1,3,1
Medicine,volunteer,Sciences,dean_of_faculty,218,0.1,0.13,2,4,0
Business,sports,Engineering,student_affairs,128,0.29,0.38,2,4,1
Business,seminar,Engineering,dean_of_faculty,197,0.24,0.34,4,1,1
Medicine,seminar,Medicine,dean_of_faculty,126,0.76,0.75,3,1,1
Engineering,sports,Engineering,dean_of_faculty,55,0.8,0.93,2,2,1
Law,hackathon,Computer Science,club_student,131,0.77,0.86,0,5,1
Law,workshop,Arts,club_student,178,0.59,0.23,4,5,1
Computer Science,hackathon,Sciences,club_student,128,0.49,0.81,1,1,1
Architecture,workshop,Medicine,dean_of_faculty,149,0.18,0.55,1,1,0
Arts,cultural,Sciences,club_event,141,0.32,0.34,3,2,1
Engineering,seminar,Student Affairs,dean_of_faculty,231,0.43,0.27,2,4,1
Medicine,social,Arts,dean_of_faculty,89,0.5,0.93,1,1,1
Business,seminar,Engineering,club_student,139,0.95,0.93,2,0,1
Engineering,sports,Sciences,dean_of_faculty,26,0.4,0.77,1,1,1
Medicine,cultural,Medicine,club_event,24,0.44,0.92,4,0,1
Computer Science,sports,Business,student_affairs,42,0.52,0.95,0,3,1
Education,seminar,Engineering,student_affairs,212,0.31,0.44,0,2,1
Engineering,social,Business,dean_of_faculty,26,0.14,0.93,2,2,1
Business,workshop,Arts,student_affairs,196,0.66,0.31,4,2,1
Medicine,hackathon,Computer Science,club_student,158,0.3,0.41,3,5,1
Law,career,Sciences,club_event,93,0.48,0.38,4,2,1
Business,career,Student Affairs,club_event,118,0.88,0.38,4,1,1
Business,social,Arts,club_student,75,0.27,0.86,1,5,0
Education,hackathon,Sciences,student_affairs,241,0.77,0.84,2,1,1
Engineering,social,Business,club_student,151,0.65,0.65,4,1,1
Computer Science,volunteer,Engineering,dean_of_faculty,83,0.55,0.64,2,1,1
Architecture,cultural,Business,club_event,113,0.3,0.47,0,2,1
Arts,career,Computer Science,club_event,48,0.26,0.96,3,4,1
Education,cultural,Business,dean_of_faculty,222,0.8,0.65,3,5,1
Computer Science,seminar,Sciences,dean_of_faculty,36,0.89,0.32,4,3,1
Computer Science,hackathon,Medicine,club_student,112,0.36,0.46,2,2,1
Law,sports,Medicine,club_student,279,0.91,0.52,3,0,1
Engineering,social,Computer Science,club_event,216,0.47,0.51,1,3,1
Arts,cultural,Engineering,student_affairs,180,0.72,0.92,1,5,1
Engineering,seminar,Student Affairs,dean_of_faculty,200,0.18,0.74,4,4,1
Law,hackathon,Engineering,club_event,186,0.61,0.69,1,1,1
Business,workshop,Sciences,student_affairs,173,0.76,0.96,2,5,1
Business,career,Engineering,student_affairs,21,0.51,0.87,4,0,1
Architecture,career,Business,dean_of_faculty,247,0.47,0.17,4,0,1
Medicine,career,Engineering,club_event,90,0.15,0.41,1,0,0
Medicine,volunteer,Engineering,club_student,70,0.48,0.26,2,4,1
Business,cultural,Student Affairs,student_affairs,33,0.18,0.37,2,3,1
Law,seminar,Arts,dean_of_faculty,83,0.21,0.87,2,4,1
Arts,career,Medicine,club_student,70,0.61,0.98,4,0,1
Medicine,hackathon,Medicine,student_affairs,147,0.57,1.0,2,1,1
Architecture,cultural,Sciences,club_event,134,0.74,0.98,0,0,0
Engineering,career,Computer Science,dean_of_faculty,226,0.14,0.41,1,0,1
Medicine,sports,Computer Science,club_student,172,0.37,0.59,0,0,1
Education,hackathon,Student Affairs,club_student,104,0.27,0.85,3,3,1
Business,cultural,Business,dean_of_faculty,186,0.52,0.83,0,4,1
Education,workshop,Business,student_affairs,196,0.16,0.23,0,2,0
Business,hackathon,Business,club_student,172,0.73,0.38,0,2,1
Architecture,career,Arts,dean_of_faculty,169,0.29,0.37,0,2,1
Arts,seminar,Sciences,club_student,262,0.91,0.24,2,3,1
Medicine,volunteer,Business,club_student,279,0.71,0.22,0,3,1
Engineering,workshop,Arts,club_student,59,0.4,0.9,0,4,1
Medicine,workshop,Medicine,student_affairs,122,0.39,0.27,2,4,1
Architecture,seminar,Arts,club_event,95,0.35,0.11,4,4,1
Arts,volunteer,Medicine,student_affairs,153,0.23,0.73,2,4,1
Engineering,sports,Medicine,student_affairs,242,0.15,0.13,0,0,0
Engineering,hackathon,Sciences,club_event,243,0.65,0.38,1,5,1
Engineering,cultural,Medicine,club_event,62,0.83,0.93,3,0,1
Architecture,cultural,Business,club_event,88,0.87,0.66,2,3,1
Education,volunteer,Sciences,dean_of_faculty,30,0.16,0.2,3,3,0
Medicine,volunteer,Medicine,club_event,275,0.19,0.84,0,2,1
Engineering,sports,Medicine,dean_of_faculty,220,0.63,0.31,1,4,1
Architecture,hackathon,Engineering,student_affairs,121,0.83,0.63,3,4,1
Arts,social,Student Affairs,club_student,264,0.2,0.64,2,4,1
Architecture,social,Arts,dean_of_faculty,50,0.64,0.72,4,3,1
Computer Science,seminar,Business,club_event,15,0.78,0.69,3,4,1
Architecture,career,Business,student_affairs,168,0.61,0.92,2,3,1
Education,seminar,Medicine,club_student,276,0.46,0.21,2,0,1
Computer Science,workshop,Student Affairs,student_affairs,71,0.88,0.88,1,3,1
Law,volunteer,Student Affairs,dean_of_faculty,222,0.44,0.59,1,3,1
Law,volunteer,Computer Science,dean_of_faculty,93,0.36,0.89,1,1,0
Computer Science,social,Student Affairs,dean_of_faculty,238,0.98,0.22,1,5,1
Architecture,hackathon,Medicine,club_event,247,0.56,0.6,3,3,1
Business,hackathon,Medicine,club_student,270,0.86,0.31,4,2,1
Education,workshop,Engineering,dean_of_faculty,203,0.2,0.53,0,1,1
Medicine,cultural,Medicine,club_student,60,0.32,0.67,0,5,1
Medicine,workshop,Arts,club_student,255,0.51,0.92,4,5,1
Education,sports,Arts,club_event,33,0.73,0.64,2,5,1
Medicine,workshop,Student Affairs,dean_of_faculty,101,0.62,0.69,2,5,1
Medicine,cultural,Engineering,club_event,273,0.17,0.81,2,1,1
Medicine,sports,Engineering,club_student,104,0.92,0.77,3,2,1
Medicine,career,Sciences,club_event,31,0.41,0.18,1,4,0
Business,cultural,Computer Science,dean_of_faculty,211,0.31,0.5,1,1,1
Education,workshop,Student Affairs,student_affairs,74,0.15,0.52,3,2,1
Arts,hackathon,Student Affairs,dean_of_faculty,257,0.34,0.58,3,0,1
Architecture,hackathon,Student Affairs,student_affairs,36,0.19,0.58,2,3,0
Medicine,volunteer,Arts,student_affairs,65,0.33,0.63,3,5,1
Arts,volunteer,Student Affairs,club_event,175,0.59,0.71,0,0,1
Engineering,cultural,Arts,club_event,160,0.33,0.13,4,0,1
Arts,seminar,Student Affairs,club_student,59,0.87,0.22,4,1,1
Business,sports,Arts,dean_of_faculty,53,0.67,0.93,2,3,1
Education,sports,Business,club_student,156,0.8,0.44,2,0,1
Medicine,social,Sciences,club_student,266,0.98,0.28,3,1,1
Engineering,social,Medicine,dean_of_faculty,126,0.65,0.2,3,5,1
Computer Science,seminar,Engineering,student_affairs,243,0.12,0.55,0,0,1
Medicine,social,Student Affairs,student_affairs,215,0.62,0.56,3,3,1
Engineering,career,Engineering,dean_of_faculty,261,0.21,0.58,2,2,1
Law,workshop,Student Affairs,club_student,202,0.58,0.96,0,3,1
Medicine,career,Business,club_student,211,0.69,0.37,3,0,1
Education,cultural,Engineering,dean_of_faculty,112,0.23,0.27,4,1,0
Engineering,sports,Sciences,dean_of_faculty,23,0.13,0.15,0,3,0
Architecture,social,Student Affairs,club_event,51,0.13,0.23,0,3,0
Computer Science,career,Student Affairs,club_event,22,0.26,0.14,2,0,0
Business,seminar,Computer Science,club_student,73,0.55,0.82,1,0,1
Law,volunteer,Computer Science,dean_of_faculty,181,0.21,0.72,4,1,1
Arts,workshop,Medicine,club_event,186,0.16,0.35,3,1,0
Business,cultural,Business,club_student,83,0.19,0.86,4,3,1
Computer Science,cultural,Engineering,club_student,18,0.26,0.18,4,2,0
Architecture,social,Business,club_event,153,0.57,0.47,1,4,1
Business,cultural,Medicine,club_student,169,0.41,0.1,1,1,1
Engineering,volunteer,Computer Science,club_event,252,0.79,0.69,2,0,1
Business,cultural,Sciences,club_event,96,0.7,0.14,2,2,1
Medicine,volunteer,Medicine,dean_of_faculty,37,0.19,0.15,4,1,0
Computer Science,cultural,Medicine,club_student,51,0.91,0.75,4,4,1
Arts,volunteer,Business,club_student,181,0.31,0.31,3,1,1
Arts,seminar,Sciences,dean_of_faculty,42,0.9,0.23,4,3,1
Education,social,Sciences,club_event,198,0.98,0.28,1,0,1
Computer Science,sports,Business,club_student,253,0.51,0.25,2,1,1
Business,social,Medicine,club_event,59,0.47,0.57,1,4,1
Architecture,sports,Engineering,dean_of_faculty,141,0.32,0.49,1,4,1
Computer Science,hackathon,Engineering,club_student,255,0.76,0.55,3,4,1
Engineering,cultural,Sciences,club_event,57,0.6,0.11,3,1,1
Medicine,career,Student Affairs,club_student,23,0.53,0.37,3,4,1
Computer Science,cultural,Sciences,club_event,222,0.27,0.88,3,5,1
Engineering,hackathon,Student Affairs,student_affairs,31,0.37,0.78,4,4,1
Arts,seminar,Medicine,student_affairs,43,0.56,0.92,2,0,1
Education,cultural,Medicine,club_student,202,0.43,0.68,0,4,1
Arts,social,Arts,club_event,73,0.68,0.76,4,5,1
Arts,volunteer,Arts,student_affairs,272,0.71,0.35,0,2,1
Architecture,seminar,Sciences,student_affairs,246,0.66,0.82,0,1,1
Architecture,seminar,Engineering,dean_of_faculty,106,0.36,0.96,0,1,1
Business,cultural,Business,club_event,26,0.36,0.97,4,1,1
Law,cultural,Student Affairs,club_student,164,0.27,0.12,1,4,1
Law,volunteer,Student Affairs,student_affairs,263,0.63,0.73,4,3,1
Business,sports,Business,student_affairs,131,0.54,0.97,0,1,1
Architecture,social,Medicine,club_event,161,0.26,0.26,1,1,0
Computer Science,volunteer,Medicine,club_event,240,0.33,0.27,4,5,0
Education,volunteer,Business,student_affairs,244,0.59,0.25,2,0,1
Law,cultural,Computer Science,club_event,249,0.94,0.24,4,4,1
Medicine,cultural,Arts,club_event,241,0.4,0.2,3,0,1
Engineering,sports,Engineering,dean_of_faculty,127,0.5,0.18,0,4,1
Arts,sports,Business,club_student,57,0.58,0.5,0,4,1
Architecture,volunteer,Medicine,club_student,199,0.46,0.74,3,2,1
Computer Science,sports,Arts,student_affairs,172,0.98,0.89,0,1,1
Architecture,hackathon,Computer Science,dean_of_faculty,162,0.25,0.76,3,5,1
Business,seminar,Business,club_event,170,0.53,0.88,2,0,1
Law,seminar,Engineering,dean_of_faculty,154,0.47,0.6,4,1,1
Law,sports,Medicine,dean_of_faculty,36,0.84,0.37,4,2,1
Architecture,career,Engineering,club_student,93,0.34,0.96,3,0,1
Medicine,hackathon,Business,dean_of_faculty,140,0.13,0.79,3,0,1
Education,cultural,Medicine,dean_of_faculty,147,0.67,0.53,0,2,1
Computer Science,sports,Business,club_student,89,0.39,0.89,1,2,1
Medicine,volunteer,Sciences,student_affairs,39,0.36,0.58,0,4,1
Business,seminar,Medicine,club_event,180,0.89,0.84,2,2,1
Education,seminar,Medicine,student_affairs,88,0.11,0.57,2,3,0
Business,seminar,Business,club_event,272,0.3,0.27,4,4,1
Engineering,hackathon,Sciences,club_student,74,0.84,0.93,3,2,1
Education,social,Computer Science,dean_of_faculty,190,0.25,0.37,0,1,1
Business,career,Arts,club_event,122,0.22,0.17,0,0,1
Architecture,hackathon,Engineering,club_event,70,0.13,0.69,4,0,0
Medicine,workshop,Engineering,student_affairs,20,0.78,0.8,4,1,1
Arts,social,Student Affairs,student_affairs,29,0.18,0.86,2,4,1
Business,career,Medicine,club_student,65,0.84,0.79,4,1,1
Medicine,social,Computer Science,club_student,65,0.93,0.93,3,2,1
Business,cultural,Student Affairs,club_student,107,0.85,0.98,3,1,1
Law,seminar,Computer Science,student_affairs,78,0.52,0.57,3,2,1
Computer Science,seminar,Arts,dean_of_faculty,74,0.45,0.51,2,5,1
Architecture,career,Medicine,dean_of_faculty,163,0.99,0.49,0,3,1
Education,social,Engineering,dean_of_faculty,68,0.46,0.57,0,0,1
Law,seminar,Student Affairs,club_event,48,0.43,0.28,1,4,1
Law,seminar,Business,dean_of_faculty,270,0.35,0.74,4,4,1
Law,volunteer,Sciences,dean_of_faculty,263,0.56,0.23,3,0,1
Architecture,cultural,Business,club_event,30,0.19,0.15,0,3,0
Business,hackathon,Medicine,student_affairs,93,0.37,0.66,0,5,1
Architecture,cultural,Business,student_affairs,269,0.54,0.34,2,4,1
Computer Science,hackathon,Engineering,dean_of_faculty,245,0.38,0.44,3,0,0
Medicine,social,Sciences,dean_of_faculty,83,0.38,0.45,0,4,1
Architecture,cultural,Medicine,club_event,274,0.15,0.34,4,3,1
Education,sports,Arts,club_student,29,0.63,0.22,2,2,1
Computer Science,volunteer,Sciences,club_student,234,0.41,0.42,2,0,1
Arts,career,Student Affairs,student_affairs,58,0.92,0.16,2,0,1
Computer Science,volunteer,Engineering,dean_of_faculty,231,0.61,0.91,2,0,1
Computer Science,volunteer,Sciences,dean_of_faculty,180,0.62,0.83,0,5,1
Education,cultural,Medicine,student_affairs,100,0.65,0.43,3,1,1
Engineering,career,Arts,student_affairs,39,0.37,0.62,1,4,1
Engineering,seminar,Medicine,student_affairs,154,0.16,0.82,3,3,1
Engineering,sports,Medicine,student_affairs,236,0.7,0.38,3,3,1
Architecture,social,Engineering,club_event,270,0.29,0.97,3,2,1
Law,workshop,Medicine,club_event,201,0.52,0.32,2,3,1
Engineering,career,Computer Science,dean_of_faculty,151,0.84,0.68,2,5,1
Law,career,Engineering,club_event,113,0.12,0.82,2,3,1
Law,hackathon,Student Affairs,club_student,118,0.24,0.22,2,2,1
Business,workshop,Student Affairs,dean_of_faculty,25,0.15,0.91,2,4,1
Engineering,hackathon,Arts,club_student,218,0.95,0.75,1,1,1
Engineering,sports,Sciences,club_student,136,0.64,0.8,2,2,1
Law,career,Sciences,club_event,88,0.2,0.29,2,3,0
Computer Science,cultural,Medicine,student_affairs,72,0.38,0.48,1,2,1
Business,volunteer,Sciences,student_affairs,172,0.12,0.97,4,0,1
Computer Science,career,Arts,dean_of_faculty,173,0.68,0.73,0,4,1
Architecture,hackathon,Engineering,dean_of_faculty,145,0.37,0.94,1,2,1
Business,cultural,Student Affairs,student_affairs,223,0.81,0.35,0,3,1
Law,volunteer,Student Affairs,dean_of_faculty,66,0.84,0.73,4,0,1
Education,cultural,Student Affairs,club_student,41,0.68,0.27,3,5,1
Law,career,Student Affairs,student_affairs,175,0.62,0.2,1,4,1
Business,hackathon,Computer Science,student_affairs,246,0.53,0.76,2,1,1
Education,sports,Business,club_student,227,0.43,0.45,3,4,1
Computer Science,career,Engineering,dean_of_faculty,116,0.34,0.87,0,3,1
Medicine,social,Engineering,student_affairs,102,0.95,0.21,4,3,1
Architecture,cultural,Engineering,club_event,119,0.27,0.88,2,2,1
Law,social,Sciences,club_event,125,1.0,0.35,1,3,1
Business,workshop,Arts,student_affairs,135,0.66,0.92,2,4,1
Architecture,seminar,Engineering,dean_of_faculty,83,0.88,0.98,3,5,1
Law,hackathon,Student Affairs,student_affairs,52,0.19,0.15,2,1,0
Education,workshop,Engineering,student_affairs,273,0.66,0.37,3,5,1
Computer Science,social,Arts,club_event,272,0.54,0.41,3,1,1
Law,social,Arts,club_student,175,0.14,0.22,2,5,1
Law,sports,Arts,student_affairs,279,0.38,0.9,2,5,1
Business,cultural,Engineering,club_event,91,0.15,0.26,3,2,0
Architecture,hackathon,Engineering,dean_of_faculty,35,0.5,0.99,4,3,1
Engineering,social,Engineering,student_affairs,62,0.28,0.36,1,5,1
Medicine,career,Medicine,club_student,107,0.47,0.17,3,5,1
Education,workshop,Arts,club_student,216,0.44,0.94,0,2,1
Engineering,cultural,Computer Science,dean_of_faculty,247,0.67,0.34,0,2,1
Architecture,volunteer,Student Affairs,club_event,123,0.88,0.82,2,2,1
Engineering,hackathon,Engineering,dean_of_faculty,145,0.26,0.97,3,0,0
Arts,social,Sciences,dean_of_faculty,160,0.68,0.96,1,0,1
Law,sports,Student Affairs,club_event,198,0.7,0.85,4,1,1
Law,cultural,Arts,dean_of_faculty,61,0.78,0.83,4,1,1
Law,seminar,Engineering,student_affairs,252,0.71,0.68,1,3,1
Engineering,sports,Sciences,dean_of_faculty,55,0.92,0.53,1,1,1
Medicine,career,Medicine,dean_of_faculty,166,0.61,0.6,0,4,1
Law,hackathon,Engineering,dean_of_faculty,144,0.42,0.63,4,0,1
Architecture,social,Computer Science,club_event,216,0.14,0.47,2,2,1
Architecture,cultural,Medicine,student_affairs,189,0.97,0.88,1,1,1
Medicine,seminar,Sciences,club_student,17,0.46,0.11,3,3,0
Architecture,sports,Medicine,student_affairs,217,0.82,0.18,1,0,1
Computer Science,career,Computer Science,club_student,122,0.53,0.23,1,3,1
Arts,seminar,Arts,dean_of_faculty,90,0.53,0.12,1,1,1
Architecture,cultural,Sciences,club_student,245,0.63,0.28,4,3,0
Computer Science,seminar,Student Affairs,dean_of_faculty,227,0.86,0.76,4,5,1
Medicine,workshop,Sciences,dean_of_faculty,263,0.56,0.75,3,1,1
Computer Science,hackathon,Medicine,student_affairs,47,0.34,0.68,3,0,0
Education,cultural,Student Affairs,dean_of_faculty,25,0.25,0.75,3,2,1
Arts,volunteer,Medicine,dean_of_faculty,82,0.89,0.75,3,3,1
Education,cultural,Computer Science,club_event,121,0.35,0.77,3,1,1
Business,cultural,Engineering,dean_of_faculty,267,0.37,0.29,0,0,1
Medicine,volunteer,Student Affairs,club_event,104,0.85,0.91,0,0,1
Engineering,career,Engineering,club_event,264,0.33,0.41,2,0,1
Medicine,social,Computer Science,club_student,40,0.93,0.49,3,0,1
Engineering,workshop,Medicine,club_student,100,0.67,0.88,2,1,1
Architecture,cultural,Student Affairs,club_student,93,0.68,0.4,1,0,1
Architecture,hackathon,Computer Science,club_student,140,0.85,0.53,2,4,1
Medicine,volunteer,Student Affairs,dean_of_faculty,199,0.67,0.32,4,3,1
Business,hackathon,Sciences,dean_of_faculty,249,0.96,0.56,2,0,1
Computer Science,seminar,Engineering,student_affairs,176,0.46,0.8,3,0,1
Computer Science,social,Medicine,club_student,166,0.48,0.9,4,2,1
Education,volunteer,Engineering,student_affairs,90,0.73,0.5,1,4,1
Architecture,volunteer,Computer Science,dean_of_faculty,116,0.89,0.18,4,2,1
Business,sports,Business,club_student,276,0.6,0.57,1,0,0
Medicine,career,Computer Science,student_affairs,231,0.99,0.2,0,2,1
Education,seminar,Engineering,club_student,244,0.37,0.76,3,2,1
Arts,volunteer,Arts,student_affairs,86,0.74,0.57,1,0,1
Arts,volunteer,Sciences,club_student,90,0.74,0.85,0,0,1
Business,cultural,Business,dean_of_faculty,54,0.43,0.57,4,4,1
Law,sports,Medicine,dean_of_faculty,231,1.0,0.72,3,5,1
Business,social,Medicine,club_event,263,0.74,0.22,4,4,1
Arts,cultural,Sciences,club_student,95,0.95,0.43,0,4,1
Engineering,seminar,Arts,student_affairs,35,0.57,0.21,2,2,1
Architecture,workshop,Computer Science,club_event,87,0.81,0.48,2,2,1
Architecture,workshop,Engineering,student_affairs,49,0.88,0.48,4,2,1
Education,hackathon,Sciences,club_event,85,0.55,0.51,3,5,1
Education,seminar,Computer Science,dean_of_faculty,213,0.31,0.46,4,0,1
Architecture,sports,Student Affairs,club_student,99,0.74,0.61,2,4,1
Engineering,career,Medicine,club_student,111,0.78,0.55,0,0,1
Business,workshop,Arts,club_event,140,0.85,0.86,4,3,1
Education,hackathon,Medicine,club_student,266,0.88,0.12,3,1,1
Education,hackathon,Arts,club_student,73,0.98,0.59,2,1,1
Engineering,social,Arts,dean_of_faculty,101,0.15,0.97,1,0,1
Medicine,hackathon,Engineering,student_affairs,87,0.47,0.39,3,0,0
Arts,career,Sciences,dean_of_faculty,73,0.34,0.39,4,3,0
Computer Science,hackathon,Student Affairs,club_event,24,0.34,0.97,0,1,0
Business,sports,Medicine,dean_of_faculty,243,0.18,0.67,1,1,1
Business,career,Medicine,dean_of_faculty,246,0.14,0.83,4,2,1
Business,workshop,Engineering,dean_of_faculty,154,0.64,0.86,3,2,1
